127.0.0.1 - - [24/Dec/2017:02:50:37 +0100] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:50:44 +0100] "GET /LeagueOfStalkJava/SummonerLookup HTTP/1.1" 500 1596
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:50:44 +0100] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:50:44 +0100] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:50:49 +0100] "GET /LeagueOfStalkJava/index.html HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:50:49 +0100] "GET /LeagueOfStalkJava/assets/css/LoSStyleSheet.css HTTP/1.1" 200 7047
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:50:49 +0100] "GET /LeagueOfStalkJava/assets/images/skizze1.png HTTP/1.1" 200 138558
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:50:49 +0100] "GET /LeagueOfStalkJava/assets/images/blueprint-2.jpg HTTP/1.1" 200 15504
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:50:49 +0100] "GET /LeagueOfStalkJava/assets/css/RollandinEmilie/RollandinEmilie.ttf HTTP/1.1" 200 221628
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:51:00 +0100] "GET /LeagueOfStalkJava/SummonerLookup?summoner=Dreifingerjoey HTTP/1.1" 200 9473
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:51:00 +0100] "GET /LeagueOfStalkJava/assets/css/LoSStyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:51:01 +0100] "GET /LeagueOfStalkJava/1 HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:51:01 +0100] "GET /LeagueOfStalkJava/1 HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [24/Dec/2017:02:51:01 +0100] "GET /LeagueOfStalkJava/assets/css/url HTTP/1.1" 404 1102
127.0.0.1 - - [24/Dec/2017:02:59:02 +0100] "GET /LeagueOfStalkJava/index.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2017:02:59:02 +0100] "GET /LeagueOfStalkJava/assets/css/LoSStyleSheet.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2017:02:59:02 +0100] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [24/Dec/2017:02:59:05 +0100] "GET /LeagueOfStalkJava/SummonerLookup?summoner=Dreifingerjoey HTTP/1.1" 200 9473
127.0.0.1 - - [24/Dec/2017:02:59:05 +0100] "GET /LeagueOfStalkJava/1 HTTP/1.1" 404 1089
127.0.0.1 - - [24/Dec/2017:02:59:05 +0100] "GET /LeagueOfStalkJava/1 HTTP/1.1" 404 1089
127.0.0.1 - - [24/Dec/2017:02:59:05 +0100] "GET /LeagueOfStalkJava/assets/css/url HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [24/Dec/2017:03:45:43 +0100] "GET /LeagueOfStalkJava/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2017:03:45:43 +0100] "GET /LeagueOfStalkJava/assets/css/LoSStyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2017:03:45:44 +0100] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [24/Dec/2017:03:45:51 +0100] "GET /LeagueOfStalkJava/SummonerLookup?summoner=rosenrotze HTTP/1.1" 200 9728
0:0:0:0:0:0:0:1 - - [24/Dec/2017:03:45:52 +0100] "GET /LeagueOfStalkJava/1 HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [24/Dec/2017:03:45:52 +0100] "GET /LeagueOfStalkJava/1 HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [24/Dec/2017:03:45:52 +0100] "GET /LeagueOfStalkJava/assets/css/url HTTP/1.1" 404 1102
